open,close,low,high,vol,time
9144.0,9144.0,9144.0,9144.0,0.0,2020-07-01 02:11:00
9144.0,9143.5,9143.5,9144.0,0.91435,2020-07-01 02:12:00
9143.5,9145.0,9142.5,9145.0,1372.66425,2020-07-01 02:13:00
9145.0,9148.0,9145.0,9148.0,0.0,2020-07-01 02:14:00
9148.0,9148.0,9146.5,9148.0,37332.0732,2020-07-01 02:15:00
9148.0,9146.5,9144.0,9148.0,0.0,2020-07-01 02:16:00
9146.5,9145.5,9145.0,9146.5,0.0,2020-07-01 02:17:00
9145.5,9145.0,9145.0,9145.5,0.0,2020-07-01 02:18:00
9145.0,9144.0,9144.0,9145.0,0.0,2020-07-01 02:19:00
9144.0,9146.5,9143.5,9147.5,2142.55635,2020-07-01 02:20:00
9146.5,9146.5,9146.5,9146.5,0.0,2020-07-01 02:21:00
9146.5,9148.5,9146.5,9148.5,0.0,2020-07-01 02:22:00
9148.5,9148.5,9148.5,9148.5,0.0,2020-07-01 02:23:00
9148.5,9149.5,9148.5,9149.5,9.1495,2020-07-01 02:24:00
9149.5,9147.0,9145.5,9149.5,26728.1241,2020-07-01 02:25:00
9147.0,9146.5,9145.5,9147.0,0.0,2020-07-01 02:26:00
9146.5,9145.5,9145.5,9146.5,0.0,2020-07-01 02:27:00
9145.5,9146.5,9145.5,9146.5,0.0,2020-07-01 02:28:00
9146.5,9148.0,9146.5,9149.5,0.0,2020-07-01 02:29:00
9148.0,9150.0,9148.0,9150.0,0.0,2020-07-01 02:30:00
9150.0,9150.5,9150.0,9151.0,2080.9374,2020-07-01 02:31:00
9150.5,9152.5,9150.5,9152.5,0.0,2020-07-01 02:32:00
9152.5,9146.0,9146.0,9153.5,0.0,2020-07-01 02:33:00
9146.0,9147.0,9145.0,9148.0,173.774,2020-07-01 02:34:00
9147.0,9143.0,9143.0,9147.0,0.0,2020-07-01 02:35:00
9142.5,9140.0,9140.0,9142.5,0.0,2020-07-01 02:36:00
9140.0,9138.5,9137.0,9143.0,0.0,2020-07-01 02:37:00
9138.5,9140.5,9138.0,9140.5,0.0,2020-07-01 02:38:00
9140.5,9139.5,9138.5,9142.0,28915.304,2020-07-01 02:39:00
9139.5,9140.0,9139.5,9140.0,0.0,2020-07-01 02:40:00
9140.0,9140.0,9139.5,9140.0,0.0,2020-07-01 02:41:00
9140.0,9145.5,9140.0,9145.5,0.0,2020-07-01 02:42:00
